Currency,Date,Close,Open,High,Low,Volume
BCH,2018-06-01,988.5081853941,1000.0228603874,1009.098005309,984.2416074038,30
BCH,2018-06-02,1004.6993407408,996.4250043194,1012.7348565584,979.1280680773,35
BCH,2018-06-03,1071.102569016,1002.343365538,1100.5163008494,992.4210753361,30
BCH,2018-06-04,1163.4789668614,1083.8413946851,1195.7471170788,1070.126388748,37
BCH,2018-06-05,1114.2272669253,1166.4126621331,1212.6036246445,1074.6474071373,22
BCH,2018-06-06,1147.0772722803,1114.2272670611,1159.5994718251,1047.3060366961,25
BCH,2018-06-07,1128.99,1147.99,1160.0620996749,1099.906836165,45
BCH,2018-06-08,1143.23,1128.99,1167,1127.02,50
BCH,2018-06-09,1115.22,1143.23,1148.5,1087.11,43
BCH,2018-06-10,1086.371506434,1115.22,1135.22584,1082.78,47
BCH,2018-06-11,938.364966,1086.371506434,1086.371506434,901.6,39
BCH,2018-06-12,947.5068213838,900.2387126731,951.3713014747,900.0065927563,35
BCH,2018-06-13,865.296758589,952.5743492231,960.8963311533,851.3327285244,32
BCH,2018-06-14,846.3348264577,865.2971700555,881.1350891524,802.4914002796,38
BCH,2018-06-15,887.7841675113,842.5015503502,899.7726544547,831.3110855129,33
BCH,2018-06-16,843.2510005096,893.4846470424,898.7590021657,843.2179035539,29
BCH,2018-06-17,853.7789594634,843.2510116875,859.7019989674,830.3482583884,25
BCH,2018-06-18,847.6826191405,849.6298928777,863.1955677758,841.9936688801,19
BCH,2018-06-19,887.0073634717,845.6618719103,897.4652063542,824.7978435765,22
BCH,2018-06-20,899.6752386969,884.3457609973,923.3863253431,874.9531519656,15
BCH,2018-06-21,891.50020424,899.2335288583,909.1898816285,865.588491583,28
BCH,2018-06-22,872.7083315241,893.3717426181,901.568454978,866.0753690008,34
BCH,2018-06-23,765.7819825005,872.7082939791,873.2230448935,734.3560391029,38
BCH,2018-06-24,769.6370987191,757.7080427551,793.1298053145,742.7944907843,24
BCH,2018-06-25,752.1398890743,769.6929412011,773.1342806853,677.0670209391,29
BCH,2018-06-26,755.4662689385,751.8036430424,765.040905256,728.6857587021,33
BCH,2018-06-27,715.7273290506,755.7249654379,757.4909522591,708.1744984757,39
BCH,2018-06-28,711.5924816918,719.0128198659,722.0639294964,685.9746973041,48
BCH,2018-06-29,662.9913956257,711.8804927264,723.429414009,656.9241332598,52
BCH,2018-06-30,720.8019068085,662.5724975237,733.1931813143,650.1461255453,44
BCH,2018-07-01,727.3496996635,719.8448208618,778.0962106088,710.6196122391,45
BCH,2018-07-02,738.2604771203,749.7360264874,754.7606188446,715.1500338856,41
BCH,2018-07-03,784.0467076329,738.2203424183,797.2266187608,720.7404633788,38
BCH,2018-07-04,753.9352992938,783.7158686834,832.0924014272,751.0540689128,34
BCH,2018-07-05,763.6519804295,754.690028599,812.7996182628,736.9068532635,33
BCH,2018-07-06,729.0961400423,763.2964892723,786.9718624476,716.0640275883,38
BCH,2018-07-07,732.0245201095,742.83,744.8376061414,698.45264,29
BCH,2018-07-08,730.8720582247,729.3698358183,732.5887211026,708.6489364215,22
BCH,2018-07-09,766.1246924033,730.8720759961,782.3312974334,730.7133586465,19
BCH,2018-07-10,738.89448483,766.1246924033,766.1420373969,735.6324687438,18
BCH,2018-07-11,693.0077600911,738.8938667814,741.5113924304,688.2788267324,12
BCH,2018-07-12,701.9654493271,685.1693584254,712.0144127735,681.7335666697,13
BCH,2018-07-13,675.5050785602,705.5434411938,705.6117285325,671.618945513,17
BCH,2018-07-14,692.597,685.5,712.0135415975,685.4702579085,29
BCH,2018-07-15,699.7204665314,695.0818545148,710.8572831973,686.9327353378,36
BCH,2018-07-16,725.1970959989,699.7209346214,731.9491764646,696.5336557407,38
BCH,2018-07-17,797.7583737043,723.000617902,809.3964051377,716.2839710341,31
BCH,2018-07-18,856.9027247281,806.0464140256,873.3336893166,783.8516741915,42
BCH,2018-07-19,828.1557391493,856.9029728561,887.5721712559,807.2410345983,44
BCH,2018-07-20,821.4932891082,828.1558586404,846.1098858903,805.3954325895,38
BCH,2018-07-21,767.5717903412,821.5519888861,827.0396353695,760.5022994897,52
BCH,2018-07-22,794.5840804115,768.8355999062,800.4584292644,740.6346313121,47
BCH,2018-07-23,786.8684752195,794.424981459,821.7185261288,776.9780384865,44
BCH,2018-07-24,786.229151447,784.1617417764,830.0052493271,780.6161857858,43
BCH,2018-07-25,865.5025173553,786.2292542944,879.8581341696,774.0139005169,37
BCH,2018-07-26,840.3856827804,865.5370718815,878.8823928077,818.8885840918,34
BCH,2018-07-27,798.0819922629,841.5304484866,864.0632903862,794.0773179678,32
BCH,2018-07-28,827.9927039419,804.2699907718,830.9566052839,780.8171229294,39
BCH,2018-07-29,815.2655009095,823.598429457,828.8348989141,799.9025352331,31
BCH,2018-07-30,827.070227185,815.2655425752,840.8885922499,812.7473253013,28
BCH,2018-07-31,815.5162240166,830.1241001556,835.5218709109,784.2036167926,24
